# id	direction	type	payload hex	decoded meaning
list-request-raw-name	request	14	01000000612a0000000000000064000000	path=[61], page_token=42, page_size=100
list-page-symlink	response	15	07000000000000000900000000000000010100000002000000ff78010400000000000000feffffffffffffffa401000000000000	related_id=7, page_token=9, final=true, count=1, entry(name=[ff78], kind=1, size=4, mtime_ns=-2, mode=420, target=[])
stat-request-non-utf8	request	16	01000000ff01	path=[ff], include_digest=true
stat-response-missing	response	17	09000000000000000100	related_id=9, status=missing, digest_present=false
cancel-request	request	18	0700000000000000	related_id=7
keepalive	control	19	2a00000000000000	nonce=42
keepalive-ack	control	20	2a00000000000000	nonce=42
browse-error	response	21	0700000000000000020003000000626164	related_id=7, code=2, message="bad"
publish-request-edited-size	request	32	01000000fe6300000000000000fcffffffffffffff070000000000000008000000000000007b00000000000000abababababababababababababababababababababababababababababababab	path=[fe], fetched_identity=(size=99,mtime=-4,device=7,file=8), replacement_size=123, replacement_digest=[ab;32]
set-permissions-request	request	36	0100000061a4010000	path=[61], mode=420
set-permissions-response-ok	response	37	040000000000000000	related_id=4, status=ok
set-mtime-request	request	38	010000006100ca9a3b00000000	path=[61], mtime_ns=1000000000
set-mtime-response-ok	response	39	050000000000000000	related_id=5, status=ok
read-link-request	request	40	0100000061	path=[61]
read-link-response-ok	response	41	0600000000000000000100000062	related_id=6, status=ok, target=[62]
read-link-response-missing	response	41	070000000000000001	related_id=7, status=missing

# Deliberately malformed payloads. The final field names the fail-closed rule.
unknown-type	malformed	255		invalid message type
truncated-path	malformed	14	01000000	truncated path
invalid-boolean	malformed	16	0000000002	invalid boolean
invalid-stat-status	malformed	17	000000000000000003	invalid stat status enum
invalid-stat-fields	malformed	17	00000000000000000101	missing response with digest present
trailing-byte	malformed	19	010000000000000000	trailing payload byte
oversized-path	malformed	14	01001000	path length exceeds 1 MiB
